Model,Dataset,Dimension,Mean,Std,Median,Min,Max,N,Distribution
gemma2:9b,data_hanoi,accuracy,3.25,1.25,3.0,1,5,10600,"1: 1681, 3: 5107, 4: 1598, 5: 2214"
gemma2:9b,data_hanoi,relevance,4.04,1.0,4.0,2,5,10600,"2: 1681, 4: 5107, 5: 3812"
gemma2:9b,data_hanoi,coherence,4.04,1.0,4.0,2,5,10600,"2: 1681, 4: 5107, 5: 3812"
gemma2:9b,data_hanoi,completeness,2.99,0.97,3.0,1,4,10600,"1: 1681, 3: 5705, 4: 3214"
gemma2:9b,data_hanoi,fluency,3.14,0.66,3.0,2,4,10600,"2: 1681, 3: 5705, 4: 3214"
gemma2:9b,data_lyon_EDGT,accuracy,2.72,1.97,1.0,1,5,45800,"1: 25765, 3: 676, 5: 19359"
gemma2:9b,data_lyon_EDGT,relevance,3.3,1.48,2.0,2,5,45800,"2: 25765, 4: 676, 5: 19359"
gemma2:9b,data_lyon_EDGT,coherence,3.3,1.48,2.0,2,5,45800,"2: 25765, 4: 676, 5: 19359"
gemma2:9b,data_lyon_EDGT,completeness,2.74,1.97,1.0,1,5,45800,"1: 25765, 4: 676, 5: 19359"
gemma2:9b,data_lyon_EDGT,fluency,2.86,0.98,2.0,2,4,45800,"2: 25765, 3: 676, 4: 19359"
gemma2:9b,data_MyDailyTravelData,accuracy,2.34,0.79,3.0,1,3,36200,"1: 7127, 2: 9795, 3: 19278"
gemma2:9b,data_MyDailyTravelData,relevance,4.46,1.14,5.0,1,5,36200,"1: 2355, 3: 4772, 4: 595, 5: 28478"
gemma2:9b,data_MyDailyTravelData,coherence,4.46,1.14,5.0,1,5,36200,"1: 2355, 3: 4772, 4: 598, 5: 28475"
gemma2:9b,data_MyDailyTravelData,completeness,2.72,0.58,3.0,1,3,36200,"1: 2355, 2: 5367, 3: 28478"
gemma2:9b,data_MyDailyTravelData,fluency,3.72,0.58,4.0,2,4,36200,"2: 2355, 3: 5367, 4: 28478"
gemma2:9b,data_NYC_mobility,accuracy,2.03,0.31,2.0,1,3,35200,"1: 1212, 2: 31849, 3: 2139"
gemma2:9b,data_NYC_mobility,relevance,4.93,0.36,5.0,3,5,35200,"3: 1212, 5: 33988"
gemma2:9b,data_NYC_mobility,coherence,3.99,0.45,4.0,2,5,35200,"2: 1212, 4: 31849, 5: 2139"
gemma2:9b,data_NYC_mobility,completeness,2.99,0.44,3.0,1,4,35200,"1: 1212, 3: 31988, 4: 2000"
gemma2:9b,data_NYC_mobility,fluency,4.02,0.29,4.0,3,5,35200,"3: 1212, 4: 32188, 5: 1800"
gemma2:9b,data_pmus_yaounde,accuracy,3.86,0.78,4.0,2,5,6800,"2: 863, 4: 5137, 5: 800"
gemma2:9b,data_pmus_yaounde,relevance,2.92,0.89,3.0,1,5,6800,"1: 863, 3: 5137, 4: 400, 5: 400"
gemma2:9b,data_pmus_yaounde,coherence,3.86,0.78,4.0,2,5,6800,"2: 863, 4: 5137, 5: 800"
gemma2:9b,data_pmus_yaounde,completeness,3.68,1.05,4.0,1,5,6800,"1: 863, 4: 5537, 5: 400"
gemma2:9b,data_pmus_yaounde,fluency,3.93,0.43,4.0,3,5,6800,"3: 863, 4: 5537, 5: 400"
gemma2:9b,data_VTC_survey,accuracy,3.82,0.8,4.0,2,5,27200,"2: 3815, 4: 20533, 5: 2852"
gemma2:9b,data_VTC_survey,relevance,3.82,0.8,4.0,2,5,27200,"2: 3815, 4: 20533, 5: 2852"
gemma2:9b,data_VTC_survey,coherence,3.82,0.8,4.0,2,5,27200,"2: 3815, 4: 20533, 5: 2852"
gemma2:9b,data_VTC_survey,completeness,2.74,0.72,3.0,1,4,27200,"1: 3815, 3: 22817, 4: 568"
gemma2:9b,data_VTC_survey,fluency,2.88,0.38,3.0,2,4,27200,"2: 3815, 3: 22817, 4: 568"
