Model,Dataset,Dimension,Mean,Std,Median,Min,Max,N,Distribution
llama3.1:8b,data_hanoi,accuracy,3.3,1.2,3.0,1,5,10600,"1: 1444, 3: 5289, 4: 1648, 5: 2219"
llama3.1:8b,data_hanoi,relevance,4.09,0.95,4.0,2,5,10600,"2: 1444, 4: 5289, 5: 3867"
llama3.1:8b,data_hanoi,coherence,3.4,1.29,3.0,1,5,10600,"1: 1444, 3: 5289, 4: 648, 5: 3219"
llama3.1:8b,data_hanoi,completeness,3.03,0.92,3.0,1,4,10600,"1: 1444, 3: 5937, 4: 3219"
llama3.1:8b,data_hanoi,fluency,3.17,0.64,3.0,2,4,10600,"2: 1444, 3: 5937, 4: 3219"
llama3.1:8b,data_lyon_EDGT,accuracy,2.68,1.87,1.0,1,5,45800,"1: 24818, 3: 763, 4: 5398, 5: 14821"
llama3.1:8b,data_lyon_EDGT,relevance,4.46,0.5,4.0,4,5,45800,"4: 24818, 5: 20982"
llama3.1:8b,data_lyon_EDGT,coherence,3.36,1.48,2.0,2,5,45800,"2: 24818, 4: 763, 5: 20219"
llama3.1:8b,data_lyon_EDGT,completeness,2.82,1.98,1.0,1,5,45800,"1: 24818, 4: 763, 5: 20219"
llama3.1:8b,data_lyon_EDGT,fluency,2.9,0.99,2.0,2,4,45800,"2: 24818, 3: 763, 4: 20219"
llama3.1:8b,data_MyDailyTravelData,accuracy,2.34,0.77,3.0,1,3,36200,"1: 6587, 2: 10758, 3: 18855"
llama3.1:8b,data_MyDailyTravelData,relevance,4.63,0.79,5.0,1,5,36200,"1: 120, 3: 6467, 4: 156, 5: 29457"
llama3.1:8b,data_MyDailyTravelData,coherence,4.63,0.79,5.0,1,5,36200,"1: 120, 3: 6467, 4: 158, 5: 29455"
llama3.1:8b,data_MyDailyTravelData,completeness,1.81,0.39,2.0,1,2,36200,"1: 6743, 2: 29457"
llama3.1:8b,data_MyDailyTravelData,fluency,3.81,0.4,4.0,2,4,36200,"2: 120, 3: 6623, 4: 29457"
llama3.1:8b,data_NYC_mobility,accuracy,3.04,0.37,3.0,1,4,35200,"1: 601, 3: 32073, 4: 2526"
llama3.1:8b,data_NYC_mobility,relevance,4.04,0.37,4.0,2,5,35200,"2: 601, 4: 32073, 5: 2526"
llama3.1:8b,data_NYC_mobility,coherence,4.04,0.37,4.0,2,5,35200,"2: 601, 4: 32073, 5: 2526"
llama3.1:8b,data_NYC_mobility,completeness,3.03,0.37,3.0,1,4,35200,"1: 601, 3: 32199, 4: 2400"
llama3.1:8b,data_NYC_mobility,fluency,4.05,0.28,4.0,3,5,35200,"3: 601, 4: 32399, 5: 2200"
llama3.1:8b,data_pmus_yaounde,accuracy,4.12,0.32,4.0,4,5,6800,"4: 6000, 5: 800"
llama3.1:8b,data_pmus_yaounde,relevance,3.18,0.51,3.0,3,5,6800,"3: 6000, 4: 400, 5: 400"
llama3.1:8b,data_pmus_yaounde,coherence,3.18,0.51,3.0,3,5,6800,"3: 6000, 4: 400, 5: 400"
llama3.1:8b,data_pmus_yaounde,completeness,4.06,0.24,4.0,4,5,6800,"4: 6400, 5: 400"
llama3.1:8b,data_pmus_yaounde,fluency,3.06,0.24,3.0,3,4,6800,"3: 6400, 4: 400"
llama3.1:8b,data_VTC_survey,accuracy,3.13,0.99,3.0,1,5,27200,"1: 3809, 3: 12568, 4: 10395, 5: 428"
llama3.1:8b,data_VTC_survey,relevance,4.12,0.97,4.0,2,5,27200,"2: 3809, 4: 12568, 5: 10823"
llama3.1:8b,data_VTC_survey,coherence,4.12,0.97,4.0,2,5,27200,"2: 3809, 4: 12568, 5: 10823"
llama3.1:8b,data_VTC_survey,completeness,3.04,0.94,3.0,1,4,27200,"1: 3809, 3: 14572, 4: 8819"
llama3.1:8b,data_VTC_survey,fluency,3.18,0.66,3.0,2,4,27200,"2: 3809, 3: 14572, 4: 8819"
