accuracy,relevance,coherence,completeness,fluency,model,dataset,question,agent_id,response
4,4,4,4,3,gemma2:27b,data_pmus_yaounde,centre ville,Agent_0,YAOUNDE
5,4,5,4,4,gemma2:27b,data_pmus_yaounde,q1_1,Agent_0,UN QUARTIER DE LA VILLE DE YAOUNDE
4,4,4,4,4,gemma2:27b,data_pmus_yaounde,q1_1_a,Agent_0,MOKOLO
4,4,3,4,3,gemma2:27b,data_pmus_yaounde,q1_1_b,Agent_0,CARREFOUR
4,4,4,4,3,gemma2:27b,data_pmus_yaounde,q1_1_c,Agent_0,AFANOYA
5,4,5,4,4,gemma2:27b,data_pmus_yaounde,q1_2,Agent_0,UN QUARTIER DE LA VILLE DE YAOUNDE
4,4,4,4,4,gemma2:27b,data_pmus_yaounde,q1_2_a,Agent_0,MOKOLO
4,4,3,4,3,gemma2:27b,data_pmus_yaounde,q1_2_b,Agent_0,10 IEME ARRET
4,4,4,4,3,gemma2:27b,data_pmus_yaounde,q1_3_c,Agent_0,AFANOYA
4,3,4,4,3,gemma2:27b,data_pmus_yaounde,q2_1,Agent_0,A PIED
4,4,3,4,3,gemma2:27b,data_pmus_yaounde,q2_2_1,Agent_0,MOKOLO
4,4,3,4,2,gemma2:27b,data_pmus_yaounde,q2_2_2,Agent_0,10 E ARRET
4,4,3,4,3,gemma2:27b,data_pmus_yaounde,q2_3_1,Agent_0,MOKOLO
4,4,3,4,3,gemma2:27b,data_pmus_yaounde,q2_3_2,Agent_0,MOKOLO
4,4,5,4,4,gemma2:27b,data_pmus_yaounde,q2_3,Agent_0,NON
4,4,4,4,3,gemma2:27b,data_pmus_yaounde,q2_4,Agent_0,A PIED
4,4,4,4,3,gemma2:27b,data_pmus_yaounde,q2_5_1,Agent_0,MOKOLO
4,4,4,4,3,gemma2:27b,data_pmus_yaounde,q2_5_2,Agent_0,0MPHINE
4,4,4,4,3,gemma2:27b,data_pmus_yaounde,q2_6_1,Agent_0,MOKOLO
4,4,4,4,3,gemma2:27b,data_pmus_yaounde,q2_6_2,Agent_0,11EME ARRET
4,4,5,4,4,gemma2:27b,data_pmus_yaounde,q3_1,Agent_0,NON
4,3,4,4,3,gemma2:27b,data_pmus_yaounde,q3_2,Agent_0,A PIED
4,4,4,4,4,gemma2:27b,data_pmus_yaounde,q3_3_1,Agent_0,MOKOLO
4,4,3,4,3,gemma2:27b,data_pmus_yaounde,q3_3_2,Agent_0,MOKOLO
