Model,Dataset,Dimension,Mean,Std,Median,Min,Max,N,Distribution
gemma2:27b,data_hanoi,accuracy,3.15,1.14,3.0,1,5,10600,"1: 1443, 3: 6609, 4: 613, 5: 1935"
gemma2:27b,data_hanoi,relevance,3.97,0.89,4.0,2,5,10600,"2: 1443, 4: 6609, 5: 2548"
gemma2:27b,data_hanoi,coherence,3.97,0.89,4.0,2,5,10600,"2: 1443, 4: 6609, 5: 2548"
gemma2:27b,data_hanoi,completeness,2.91,0.85,3.0,1,4,10600,"1: 1443, 3: 7222, 4: 1935"
gemma2:27b,data_hanoi,fluency,4.05,0.56,4.0,3,5,10600,"3: 1443, 4: 7222, 5: 1935"
gemma2:27b,data_lyon_EDGT,accuracy,2.76,1.97,1.0,1,5,45800,"1: 25368, 3: 505, 4: 33, 5: 19894"
gemma2:27b,data_lyon_EDGT,relevance,2.76,1.97,1.0,1,5,45800,"1: 25368, 3: 505, 4: 33, 5: 19894"
gemma2:27b,data_lyon_EDGT,coherence,1.87,0.99,1.0,1,3,45800,"1: 25873, 2: 33, 3: 19894"
gemma2:27b,data_lyon_EDGT,completeness,2.77,1.98,1.0,1,5,45800,"1: 25368, 4: 538, 5: 19894"
gemma2:27b,data_lyon_EDGT,fluency,2.88,0.99,2.0,2,4,45800,"2: 25368, 3: 538, 4: 19894"
gemma2:27b,data_MyDailyTravelData,accuracy,2.24,0.83,2.0,1,3,36200,"1: 9102, 2: 9430, 3: 17668"
gemma2:27b,data_MyDailyTravelData,relevance,4.46,0.95,5.0,1,5,36200,"1: 571, 3: 8531, 4: 228, 5: 26870"
gemma2:27b,data_MyDailyTravelData,coherence,4.46,0.95,5.0,1,5,36200,"1: 571, 3: 8531, 4: 228, 5: 26870"
gemma2:27b,data_MyDailyTravelData,completeness,2.73,0.48,3.0,1,3,36200,"1: 571, 2: 8759, 3: 26870"
gemma2:27b,data_MyDailyTravelData,fluency,3.73,0.48,4.0,2,4,36200,"2: 571, 3: 8759, 4: 26870"
gemma2:27b,data_NYC_mobility,accuracy,3.02,0.37,3.0,1,4,35200,"1: 675, 3: 32360, 4: 2165"
gemma2:27b,data_NYC_mobility,relevance,4.02,0.37,4.0,2,5,35200,"2: 675, 4: 32360, 5: 2165"
gemma2:27b,data_NYC_mobility,coherence,4.02,0.37,4.0,2,5,35200,"2: 675, 4: 32360, 5: 2165"
gemma2:27b,data_NYC_mobility,completeness,3.02,0.36,3.0,1,4,35200,"1: 675, 3: 32525, 4: 2000"
gemma2:27b,data_NYC_mobility,fluency,4.03,0.26,4.0,3,5,35200,"3: 675, 4: 32725, 5: 1800"
gemma2:27b,data_pmus_yaounde,accuracy,4.11,0.36,4.0,2,5,6800,"2: 40, 4: 5960, 5: 800"
gemma2:27b,data_pmus_yaounde,relevance,3.16,0.54,3.0,1,5,6800,"1: 40, 3: 5960, 4: 400, 5: 400"
gemma2:27b,data_pmus_yaounde,coherence,4.11,0.36,4.0,2,5,6800,"2: 40, 4: 5960, 5: 800"
gemma2:27b,data_pmus_yaounde,completeness,4.04,0.33,4.0,1,5,6800,"1: 40, 4: 6360, 5: 400"
gemma2:27b,data_pmus_yaounde,fluency,3.05,0.25,3.0,2,4,6800,"2: 40, 3: 6360, 4: 400"
gemma2:27b,data_VTC_survey,accuracy,2.85,0.84,3.0,1,5,27200,"1: 3800, 3: 20349, 4: 2470, 5: 581"
gemma2:27b,data_VTC_survey,relevance,3.83,0.8,4.0,2,5,27200,"2: 3800, 4: 20349, 5: 3051"
gemma2:27b,data_VTC_survey,coherence,3.83,0.8,4.0,2,5,27200,"2: 3800, 4: 20349, 5: 3051"
gemma2:27b,data_VTC_survey,completeness,2.74,0.72,3.0,1,4,27200,"1: 3800, 3: 22819, 4: 581"
gemma2:27b,data_VTC_survey,fluency,2.88,0.38,3.0,2,4,27200,"2: 3800, 3: 22819, 4: 581"
