accuracy,relevance,coherence,completeness,fluency,model,dataset,question,agent_id,response
2,3,3,1,3,llama3.1:8b,data_MyDailyTravelData,source,Agent_0,4: Google Search
2,3,5,1,4,llama3.1:8b,data_MyDailyTravelData,cravl,Agent_0,2: No
2,3,4,1,3,llama3.1:8b,data_MyDailyTravelData,fare,Agent_0,0.0
2,4,4,1,4,llama3.1:8b,data_MyDailyTravelData,payf,Agent_0,1: Cash
2,3,4,1,3,llama3.1:8b,data_MyDailyTravelData,payf_o,Agent_0,"My family helped me pay for the trip, and I used some of my own savings as well."
2,3,4,1,3,llama3.1:8b,data_MyDailyTravelData,paypk,Agent_0,2: No
2,3,4,1,3,llama3.1:8b,data_MyDailyTravelData,pkamt,Agent_0,0.0
2,3,4,1,3,llama3.1:8b,data_MyDailyTravelData,pkbas,Agent_0,4: Month
2,3,2,1,2,llama3.1:8b,data_MyDailyTravelData,pkbas_o,Agent_0,"I usually rely on my family or a caregiver to help me get around, so I don't often pay for transit or parking."
3,4,4,1,4,llama3.1:8b,data_MyDailyTravelData,prkty,Agent_0,1: On-site parking lot or deck
2,3,3,1,2,llama3.1:8b,data_MyDailyTravelData,prkty_o,Agent_0,"On-site parking lot or deck, near my house, where I can easily access with the help of my family or caregiver."
2,3,5,1,4,llama3.1:8b,data_MyDailyTravelData,tpurp,Agent_0,1: 01. Typical home activities
2,3,4,1,3,llama3.1:8b,data_MyDailyTravelData,tpurp_o,Agent_0,"Tending to my garden, reading, and staying active in the community."
2,4,4,1,4,llama3.1:8b,data_MyDailyTravelData,tpurp2,Agent_0,0: 00. Nothing else
2,3,4,1,3,llama3.1:8b,data_MyDailyTravelData,tpurp2_o,Agent_0,"I occasionally volunteer at the local library, helping children with their homework."
2,2,4,1,3,llama3.1:8b,data_MyDailyTravelData,tpurp_check,Agent_0,1: Yes
2,4,4,1,4,llama3.1:8b,data_MyDailyTravelData,trip_appt,Agent_0,4: Very
2,3,4,1,3,llama3.1:8b,data_MyDailyTravelData,trip_appt_why,Agent_0,['1: I had work or a job interview']
2,3,4,1,4,llama3.1:8b,data_MyDailyTravelData,trip_appt_why_1,Agent_0,"['6: I believe it is important to be on time.', '4: There was a fine']"
2,3,5,1,4,llama3.1:8b,data_MyDailyTravelData,trip_appt_why_2,Agent_0,"['6: I believe it is important to be on time.', '4: There was a fine']"
